fgi_bucket,account,trades,avg_pnl,total_pnl
greed,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,1220,96.13683716803278,117286.941345
greed,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2494,32.962414186848434,82208.26098199999
greed,0x513b8629fe877bb581bf244e326a047b249c4ff1,1261,29.332763560666137,36988.61485
greed,0x6d6a4b953f202f8df5bed40692e7fd865318264a,237,127.44051070886076,30203.401038
greed,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,571,799.0285782416813,456245.31817600003
greed,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,447,47.1537293064877,21077.717
greed,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2875,41.650371981565215,119744.819447
greed,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,83,81.63002395180725,6775.291988000001
greed,0x8170715b3b381dffb7062c0298972d4727a0a63b,1575,-239.82423773079364,-377723.174426
greed,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,298,161.07644666107385,48000.781105
greed,0x8477e447846c758f5a675856001ea72298fd9cb5,6987,-1.8851059124087592,-13171.23501
greed,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,1517,73.48228991562294,111472.633802
greed,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,3074,9.943243603122967,30565.530836
greed,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,108,408.9797290462963,44169.810737
greed,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,115,266.8534288695652,30688.144320000003
greed,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,5,8.6401,43.2005
greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4648,120.92760940469019,562071.528513
greed,0xbaaaf6571ab7d571043ff1e313a9609a10637864,4,-0.01519,-0.06076
greed,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,360,83.69501070833333,30130.203855
